station_name,appearance,min_travel_dt,max_travel_dt,short_name,lon,lat
7th St & Massachusetts Ave NE,67820,2018-01-10 15:38:29,2023-02-28 21:46:53,31647,-76.99602,38.89222
8th & D St NW,258616,2013-07-23 08:36:20,2023-02-28 22:51:22,31270,-77.02324,38.894851
8th & East Capitol St NE,151919,2013-05-14 12:20:20,2023-02-28 23:01:19,31629,-76.995193,38.889988
8th & Eye St SE / Barracks Row,149415,2010-09-24 13:03:26,2023-02-28 23:02:06,31608,-76.9953,38.8792
8th & F St NE,188915,2013-05-14 15:41:39,2023-02-28 23:44:08,31631,-76.994749,38.897274
8th & F St NW / National Portrait Gallery,2451,2018-11-01 04:56:49,2018-12-04 09:28:12,,-77.025,38.897
8th & H St NE,37264,2020-03-19 19:00:17,2023-02-28 22:17:19,31661,-76.99489653110504,38.899941626884754
8th & H St NW,598325,2010-10-08 12:44:08,2023-02-28 23:46:38,31228,-77.023086,38.8997
8th & K St NE,29625,2019-10-31 17:59:11,2023-02-28 21:35:30,31660,-76.99514991079923,38.90273216425078
8th & O St NW,341956,2015-07-29 11:20:47,2023-02-28 23:52:16,31281,-77.02277,38.90864
8th & V St NW,28249,2021-10-05 16:00:54,2023-02-28 23:13:48,31134,-77.022684,38.917716
8th Rd & S Frederick St,515,2021-08-21 09:48:19,2023-02-24 06:19:57,31951,-77.116339,38.857049
9th & F St NW / National Portrait Gallery,3924,2018-09-01 06:53:56,2018-09-30 22:44:15,,-77.023924,38.898097
9th & G St NW,853,2023-02-02 16:58:38,2023-02-28 21:48:35,30201,-77.023924,38.898097
9th & Ingraham St NW,1074,2022-09-06 14:38:43,2023-02-28 21:47:47,31424,-77.02561318874359,38.95366314394005
9th & Upshur St NW,117830,2011-12-06 17:04:24,2023-02-28 21:43:14,31404,-77.0251,38.9418
9th St & Pennsylvania Ave NW,863,2023-02-01 13:25:11,2023-02-28 20:57:12,30200,-77.023979,38.89428
Adams Mill & Columbia Rd NW,512006,2010-09-20 12:45:26,2023-02-28 23:55:01,31104,-77.04252451658249,38.9228491613136
Alabama & MLK Ave SE,6336,2013-06-04 07:33:58,2023-02-28 18:12:31,31800,-76.99937582015991,38.84322988730829
Alabama Ave & Stanton Rd SE / Shops at Park Village,3969,2017-09-21 09:30:00,2023-02-27 16:36:09,31813,-76.98185,38.84627
American University East Campus,14856,2019-03-01 17:41:29,2023-02-28 22:54:58,31320,-77.087128,38.936298
